Date,Time,Account,AccountGroup,AccountType,CardLast4,SettlementDate,PaymentDueDays,AccountOrder,AccountGroupOrder,FromAccount,FromAccountGroup,FromAccountOrder,ToAccount,ToAccountGroup,ToAccountOrder,Category,Subcategory,Note,Description,INR,Amount,Currency,Income/Expense,Tags,recurring_rule_id,warranty_expiry,serial_no,receipt_image,created_at,updated_at,ID,SubAccount,FromSubAccount,ToSubAccount,InvestmentTransactionType,Brokerage,SecuritySymbol,SecurityISIN,Quantity,UnitPrice,TradeValue,CostBasis,CashImpact,PositionQuantityChange,RealizedPnl,TradeId,OrderId,Exchange,Segment,Source
28/05/2027,02:26,Installments,Digital Wallets,,,,,21,3,Installments,Digital Wallets,21,,,,To Home,House Members,recharge to fareeda(12/12),"Vi with 3699, 75 coupon: @3624

1 year 2GB/day, Jio Hotstar",302,302.0,INR,Expense,#family-recharge,,,,,2026-08-02T10:06:53.982Z,2026-08-08T18:15:04.334Z,8319c06a-4d0b-45ee-a7fc-afd825f48bc3,,,,,,,,,,,,,,,,,,,
16/05/2027,00:08,Installments,Digital Wallets,,,,,21,3,Installments,Digital Wallets,21,,,,To Home,Home Needs,home needs(23/23),"Flipkart 

Prohome Ladder 6': 2300",100,100.0,INR,Expense,,,,,,2026-08-02T10:06:53.982Z,2026-08-02T10:06:53.982Z,d9752ebd-e738-4ec5-9e6b-5ae5e3883857,,,,,,,,,,,,,,,,,,,
01/05/2027,00:00,Installments,Digital Wallets,,,,,21,3,Installments,Digital Wallets,21,,,,Recharge,,data pack for myself,Vi 1 year unlimited 3749,233,233.0,INR,Expense,,,,,,2026-08-02T10:06:53.982Z,2026-08-02T10:06:53.982Z,6ead2117-bedf-4490-9c43-4310de5e0eaf,,,,,,,,,,,,,,,,,,,
28/04/2027,02:26,Installments,Digital Wallets,,,,,21,3,Installments,Digital Wallets,21,,,,To Home,House Members,recharge to fareeda(11/12),"Vi with 3699, 75 coupon: @3624

1 year 2GB/day, Jio Hotstar",302,302.0,INR,Expense,,,,,,2026-08-02T10:06:53.982Z,2026-08-02T10:06:53.982Z,cb34cc9f-f5ab-430a-b47d-b16ce69b89ca,,,,,,,,,,,,,,,,,,,
16/04/2027,00:08,Installments,Digital Wallets,,,,,21,3,Installments,Digital Wallets,21,,,,To Home,Home Needs,home needs(22/23),"Flipkart 

Prohome Ladder 6': 2300",100,100.0,INR,Expense,,,,,,2026-08-02T10:06:53.982Z,2026-08-02T10:06:53.982Z,c4136cf1-2acb-4fba-ac81-d8e2735578cc,,,,,,,,,,,,,,,,,,,
01/04/2027,00:00,Installments,Digital Wallets,,,,,21,3,Installments,Digital Wallets,21,,,,Recharge,,data pack for myself(11/11),Vi 1 year unlimited 3749,312,312.0,INR,Expense,,,,,,2026-08-02T10:06:53.982Z,2026-08-02T10:06:53.982Z,5305c754-7880-4832-8ced-c4826b302558,,,,,,,,,,,,,,,,,,,
28/03/2027,02:26,Installments,Digital Wallets,,,,,21,3,Installments,Digital Wallets,21,,,,To Home,House Members,recharge to fareeda(10/12),"Vi with 3699, 75 coupon: @3624

1 year 2GB/day, Jio Hotstar",302,302.0,INR,Expense,,,,,,2026-08-02T10:06:53.982Z,2026-08-02T10:06:53.982Z,cc1ca18c-cec5-402e-96a2-318e19d78fda,,,,,,,,,,,,,,,,,,,
16/03/2027,00:08,Installments,Digital Wallets,,,,,21,3,Installments,Digital Wallets,21,,,,To Home,Home Needs,home needs(21/23),"Flipkart 

Prohome Ladder 6': 2300",100,100.0,INR,Expense,,,,,,2026-08-02T10:06:53.982Z,2026-08-02T10:06:53.982Z,9ab56817-1ae8-4793-9a26-515911e21cdf,,,,,,,,,,,,,,,,,,,
05/03/2027,14:09,Installments,Digital Wallets,,,,,21,3,Installments,Digital Wallets,21,,,,To Home,Home Needs,home needs(12/12),"Amazon 

RO Kit 1329: @1214",101,101.0,INR,Expense,,,,,,2026-08-02T10:06:53.982Z,2026-08-02T10:06:53.982Z,505a8bb0-6143-45ee-93a8-9e68df6dd2b4,,,,,,,,,,,,,,,,,,,
01/03/2027,00:00,Installments,Digital Wallets,,,,,21,3,Installments,Digital Wallets,21,,,,Recharge,,data pack for myself(10/11),Vi 1 year unlimited 3749,312,312.0,INR,Expense,,,,,,2026-08-02T10:06:53.982Z,2026-08-02T10:06:53.982Z,0f4f2733-4322-4c34-9e2b-0fa073975766,,,,,,,,,,,,,,,,,,,
28/02/2027,02:26,Installments,Digital Wallets,,,,,21,3,Installments,Digital Wallets,21,,,,To Home,House Members,recharge to fareeda(9/12),"Vi with 3699, 75 coupon: @3624

1 year 2GB/day, Jio Hotstar",302,302.0,INR,Expense,,,,,,2026-08-02T10:06:53.982Z,2026-08-02T10:06:53.982Z,afde633d-5c58-4666-b6f4-9540ba7d142b,,,,,,,,,,,,,,,,,,,
16/02/2027,00:08,Installments,Digital Wallets,,,,,21,3,Installments,Digital Wallets,21,,,,To Home,Home Needs,home needs(20/23),"Flipkart 

Prohome Ladder 6': 2300",100,100.0,INR,Expense,,,,,,2026-08-02T10:06:53.982Z,2026-08-02T10:06:53.982Z,260f4133-7a2e-4268-965d-69538498e3bf,,,,,,,,,,,,,,,,,,,
05/02/2027,14:09,Installments,Digital Wallets,,,,,21,3,Installments,Digital Wallets,21,,,,To Home,Home Needs,home needs(11/12),"Amazon 

RO Kit 1329: @1214",101,101.0,INR,Expense,,,,,,2026-08-02T10:06:53.982Z,2026-08-02T10:06:53.982Z,96127149-7849-44fa-8e15-888aa7958dfb,,,,,,,,,,,,,,,,,,,
03/02/2027,10:00,Installments,Digital Wallets,,,,,21,3,Installments,Digital Wallets,21,,,,To Home,Home Needs,home needs (10/10),"Anchor Stand Fan, Shafi Traders, PMT

4500: 2500 + 2000 (Arshad)",250,250.0,INR,Expense,#home-appliance,16b80b09-67ca-4504-b101-2a7336bd9dca,,,,2026-08-10T10:33:47.634Z,2026-08-10T10:33:47.634Z,3181107f-f642-40ab-ba5c-5475bc5d4e98,,,,,,,,,,,,,,,,,,,
01/02/2027,00:00,Installments,Digital Wallets,,,,,21,3,Installments,Digital Wallets,21,,,,Recharge,,data pack for myself(9/11),Vi 1 year unlimited 3749,312,312.0,INR,Expense,,,,,,2026-08-02T10:06:53.982Z,2026-08-02T10:06:53.982Z,5c56649a-713e-49d4-88fd-3fdca79d8f0b,,,,,,,,,,,,,,,,,,,
28/01/2027,02:26,Installments,Digital Wallets,,,,,21,3,Installments,Digital Wallets,21,,,,To Home,House Members,recharge to fareeda(8/12),"Vi with 3699, 75 coupon: @3624

1 year 2GB/day, Jio Hotstar",302,302.0,INR,Expense,,,,,,2026-08-02T10:06:53.982Z,2026-08-02T10:06:53.982Z,b04cf9c2-26e5-4b78-872c-c15abd50b74e,,,,,,,,,,,,,,,,,,,
16/01/2027,00:08,Installments,Digital Wallets,,,,,21,3,Installments,Digital Wallets,21,,,,To Home,Home Needs,home needs(19/23),"Flipkart 

Prohome Ladder 6': 2300",100,100.0,INR,Expense,,,,,,2026-08-02T10:06:53.982Z,2026-08-02T10:06:53.982Z,41dae441-1aba-4e91-baa5-abcceaf22df6,,,,,,,,,,,,,,,,,,,
13/01/2027,11:12,Installments,Digital Wallets,,,,,21,3,Installments,Digital Wallets,21,,,,To Home,House Members,recharge to mom(12/12),Vi app with 3499 -50 -50: 3399,283,283.0,INR,Expense,,,,,,2026-08-02T10:06:53.982Z,2026-08-02T10:06:53.982Z,9f763a00-ad15-484b-99e3-05caf2e87614,,,,,,,,,,,,,,,,,,,
05/01/2027,14:09,Installments,Digital Wallets,,,,,21,3,Installments,Digital Wallets,21,,,,To Home,Home Needs,home needs(10/12),"Amazon 

RO Kit 1329: @1214",101,101.0,INR,Expense,,,,,,2026-08-02T10:06:53.982Z,2026-08-02T10:06:53.982Z,df46a15e-2aef-4eac-82e0-d86e63d8a1cf,,,,,,,,,,,,,,,,,,,
03/01/2027,10:00,Installments,Digital Wallets,,,,,21,3,Installments,Digital Wallets,21,,,,To Home,Home Needs,home needs (9/10),"Anchor Stand Fan, Shafi Traders, PMT

4500: 2500 + 2000 (Arshad)",250,250.0,INR,Expense,#home-appliance,16b80b09-67ca-4504-b101-2a7336bd9dca,,,,2026-08-10T10:33:46.639Z,2026-08-10T10:33:46.639Z,dab767c3-8f91-4bf8-8cde-198d991c5bf7,,,,,,,,,,,,,,,,,,,
01/01/2027,00:00,Installments,Digital Wallets,,,,,21,3,Installments,Digital Wallets,21,,,,Recharge,,data pack for myself(8/11),Vi 1 year unlimited 3749,312,312.0,INR,Expense,,,,,,2026-08-02T10:06:53.982Z,2026-08-02T10:06:53.982Z,72da9bc1-5d7c-48d9-b08b-afbac380de17,,,,,,,,,,,,,,,,,,,
28/12/2026,02:26,Installments,Digital Wallets,,,,,21,3,Installments,Digital Wallets,21,,,,To Home,House Members,recharge to fareeda(7/12),"Vi with 3699, 75 coupon: @3624

1 year 2GB/day, Jio Hotstar",302,302.0,INR,Expense,,,,,,2026-08-02T10:06:53.982Z,2026-08-02T10:06:53.982Z,8ba4fd2c-8702-4347-90fe-11c82d0953ee,,,,,,,,,,,,,,,,,,,
24/12/2026,21:14,Installments,Digital Wallets,,,,,21,3,Installments,Digital Wallets,21,Lend,Cash,34,Lend,,to chota mamu,"With 1928: 6 months

321*6 + 161 CB 

Valid till 04/02/27",321,321.0,INR,Transfer-Out,,,,,,2026-08-02T10:06:53.982Z,2026-08-02T10:06:53.982Z,f681e614-ee25-4ac1-a1e2-e4efab72f520,,,,,,,,,,,,,,,,,,,
16/12/2026,00:08,Installments,Digital Wallets,,,,,21,3,Installments,Digital Wallets,21,,,,To Home,Home Needs,home needs(18/23),"Flipkart 

Prohome Ladder 6': 2300",100,100.0,INR,Expense,,,,,,2026-08-02T10:06:53.982Z,2026-08-02T10:06:53.982Z,bd2319aa-a3e0-4142-9f55-f6e05b154120,,,,,,,,,,,,,,,,,,,
13/12/2026,11:12,Installments,Digital Wallets,,,,,21,3,Installments,Digital Wallets,21,,,,To Home,House Members,recharge to mom(11/12),Vi app with 3499 -50 -50: 3399,283,283.0,INR,Expense,,,,,,2026-08-02T10:06:53.982Z,2026-08-02T10:06:53.982Z,cf9b7e7c-0f2c-4b4a-bc37-713ca29377f7,,,,,,,,,,,,,,,,,,,
05/12/2026,14:09,Installments,Digital Wallets,,,,,21,3,Installments,Digital Wallets,21,,,,To Home,Home Needs,home needs(9/12),"Amazon 

RO Kit 1329: @1214",101,101.0,INR,Expense,,,,,,2026-08-02T10:06:53.982Z,2026-08-02T10:06:53.982Z,0a83b694-450c-4cc3-8ed2-2fedd51af57b,,,,,,,,,,,,,,,,,,,
03/12/2026,10:00,Installments,Digital Wallets,,,,,21,3,Installments,Digital Wallets,21,,,,To Home,Home Needs,home needs (8/10),"Anchor Stand Fan, Shafi Traders, PMT

4500: 2500 + 2000 (Arshad)",250,250.0,INR,Expense,#home-appliance,16b80b09-67ca-4504-b101-2a7336bd9dca,,,,2026-08-10T10:33:45.635Z,2026-08-10T10:33:45.635Z,18f8ab03-1945-4249-b853-7e66903c4b14,,,,,,,,,,,,,,,,,,,
01/12/2026,10:33,Installments,Digital Wallets,,,,,21,3,Installments,Digital Wallets,21,,,,To Home,Dish Bill,Home DTH bill(6/6),Tata play app 6 months+ 15 days free,325,325.0,INR,Expense,,,,,,2026-08-02T10:06:53.982Z,2026-08-02T10:06:53.982Z,99f4bf78-d10a-435d-86b7-502f36e4884a,,,,,,,,,,,,,,,,,,,
01/12/2026,00:00,Installments,Digital Wallets,,,,,21,3,Installments,Digital Wallets,21,,,,Recharge,,data pack for myself(7/11),Vi 1 year unlimited 3749,312,312.0,INR,Expense,,,,,,2026-08-02T10:06:53.982Z,2026-08-02T10:06:53.982Z,b5b27e49-7f39-4a00-9f5a-d96d5e684520,,,,,,,,,,,,,,,,,,,
28/11/2026,02:26,Installments,Digital Wallets,,,,,21,3,Installments,Digital Wallets,21,,,,To Home,House Members,recharge to fareeda(6/12),"Vi with 3699, 75 coupon: @3624

1 year 2GB/day, Jio Hotstar",302,302.0,INR,Expense,,,,,,2026-08-02T10:06:53.982Z,2026-08-02T10:06:53.982Z,cb5a8819-52da-422b-abca-a4f8644dcdc0,,,,,,,,,,,,,,,,,,,
24/11/2026,21:12,Installments,Digital Wallets,,,,,21,3,Installments,Digital Wallets,21,Lend,Cash,34,Lend,,to chota mamu,"With 1928: 6 months

321*6 + 161 CB 

Valid till 04/02/27",321,321.0,INR,Transfer-Out,,,,,,2026-08-02T10:06:53.982Z,2026-08-02T10:06:53.982Z,a0e294de-6682-4fae-8b98-7d64ef289567,,,,,,,,,,,,,,,,,,,
16/11/2026,00:08,Installments,Digital Wallets,,,,,21,3,Installments,Digital Wallets,21,,,,To Home,Home Needs,home needs(17/23),"Flipkart 

Prohome Ladder 6': 2300",100,100.0,INR,Expense,,,,,,2026-08-02T10:06:53.982Z,2026-08-02T10:06:53.982Z,a776ab95-b250-4301-9b64-4021873e9356,,,,,,,,,,,,,,,,,,,
13/11/2026,11:12,Installments,Digital Wallets,,,,,21,3,Installments,Digital Wallets,21,,,,To Home,House Members,recharge to mom(10/12),Vi app with 3499 -50 -50: 3399,283,283.0,INR,Expense,,,,,,2026-08-02T10:06:53.982Z,2026-08-02T10:06:53.982Z,e3eebfda-3547-4f9f-818b-47d192ab57f8,,,,,,,,,,,,,,,,,,,
05/11/2026,14:09,Installments,Digital Wallets,,,,,21,3,Installments,Digital Wallets,21,,,,To Home,Home Needs,home needs(8/12),"Amazon 

RO Kit 1329: @1214",101,101.0,INR,Expense,,,,,,2026-08-02T10:06:53.982Z,2026-08-02T10:06:53.982Z,490a3392-7587-40ae-92af-afca97e6b88b,,,,,,,,,,,,,,,,,,,
03/11/2026,10:00,Installments,Digital Wallets,,,,,21,3,Installments,Digital Wallets,21,,,,To Home,Home Needs,home needs (7/10),"Anchor Stand Fan, Shafi Traders, PMT

4500: 2500 + 2000 (Arshad)",250,250.0,INR,Expense,#home-appliance,16b80b09-67ca-4504-b101-2a7336bd9dca,,,,2026-08-10T10:33:44.600Z,2026-08-10T10:33:44.600Z,82eee4e0-cb37-4b32-ae74-fd43b1bf86d4,,,,,,,,,,,,,,,,,,,
01/11/2026,13:02,Stock,Bank Accounts,,,,,8,1,Stock,Bank Accounts,8,,,,To Home,Groceries,groceries(9/9),"Pestro floor cleaner 3L, 26/09",22,22.0,INR,Expense,,,,,,2026-08-02T10:06:53.982Z,2026-08-02T10:06:53.982Z,34f0e477-b4c3-4bbf-83ee-31dd0b34706e,,,,,,,,,,,,,,,,,,,
01/11/2026,10:33,Installments,Digital Wallets,,,,,21,3,Installments,Digital Wallets,21,,,,To Home,Dish Bill,Home DTH bill(5/6),Tata play app 6 months+ 15 days free,325,325.0,INR,Expense,,,,,,2026-08-02T10:06:53.982Z,2026-08-02T10:06:53.982Z,634c1ce9-a0b3-4c92-acca-09cbce28f63f,,,,,,,,,,,,,,,,,,,
